2020-02-20 02:33:59.885 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8990 (http) with context path ''
2020-02-20 02:33:59.888 [main] INFO  com.allwayz.freeseed.FreeseedApplication - Started FreeseedApplication in 1.651 seconds (JVM running for 2.259)
2020-02-20 02:34:00.859 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出2
2020-02-20 02:34:01.856 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出3
2020-02-20 02:34:02.860 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出4
2020-02-20 02:34:03.859 [MessageBroker-1] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出5
2020-02-20 02:34:04.858 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出6
2020-02-20 02:34:05.856 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出7
2020-02-20 02:34:06.858 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出8
2020-02-20 02:34:07.860 [MessageBroker-7] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出9
2020-02-20 02:34:08.858 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出10
2020-02-20 02:34:09.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出11
2020-02-20 02:34:10.860 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出12
2020-02-20 02:34:11.857 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出13
2020-02-20 02:34:12.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出14
2020-02-20 02:34:13.860 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出15
2020-02-20 02:34:14.857 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出16
2020-02-20 02:34:15.860 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出17
2020-02-20 02:34:16.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出18
2020-02-20 02:34:17.857 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出19
